City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,Birao,CF,75.61,broken clouds,10.2849,22.7882,
403,Bengkulu,ID,75.29,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
407,Camocim,BR,85.37,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
422,Berbera,SO,76.41,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
423,Koindu,GN,78.94,broken clouds,8.4386,-10.3253,
427,Kavieng,PG,83.12,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
430,Axim,GH,80.58,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
431,Kibala,TD,78.75,clear sky,9.1104,18.3463,hotel safari
434,Barreirinhas,BR,84.52,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
440,Orodara,BF,77.38,clear sky,10.9492,-4.9342,Bkf Orodara
441,Boca Do Acre,BR,84.79,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
442,Cape Canaveral,US,84.45,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
447,Beira,MZ,82.49,clear sky,-19.8436,34.8389,Beira Terrace Hotel
452,Masjid Tanah,MY,77.0,few clouds,2.3455,102.1107,Tanjung Bidara Palma Bed & Breakfast
457,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
458,Moca,DO,77.59,scattered clouds,19.5,-70.5,La Aldea
459,Trinidad,BO,84.18,few clouds,-14.8333,-64.9,Hotel Piesta
461,Auki,SB,78.98,overcast clouds,-8.7676,160.7034,Auki Motel
462,Santa Vitoria Do Palmar,BR,76.68,clear sky,-33.5189,-53.3681,Hostel Comodoro
468,Beitbridge,ZW,89.64,overcast clouds,-22.2167,30.0,Beitbridge Express Hotel
474,Kupang,ID,79.3,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
476,Venice,US,87.28,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
478,Dhidhdhoo,MV,82.17,broken clouds,6.8833,73.1,Dhidhoo beach
483,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
487,Bongandanga,CD,75.56,overcast clouds,1.5,21.05,
489,Takoradi,GH,81.0,overcast clouds,4.8845,-1.7554,Raybow International Hotel
490,Businga,CD,78.75,overcast clouds,3.3333,20.8833,
496,Saint-Joseph,RE,77.38,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
497,Padang,ID,77.43,overcast clouds,-0.9492,100.3543,Mercure Padang
501,Tenosique,MX,84.54,clear sky,17.4833,-91.4333,Hotel Central
505,Tual,ID,84.78,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
506,Puerto Escondido,MX,88.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
507,Garissa,KE,81.97,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
509,Ende,ID,78.98,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
510,Kumta,IN,79.68,broken clouds,14.4167,74.4,Hotel Vaibhav Palace
513,Ures,MX,77.07,clear sky,29.4333,-110.4,Hotel HACIENDA San Francisco
514,Marovoay,MG,82.54,broken clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
517,Wajir,KE,83.93,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
518,Nsanje,MW,85.82,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
521,Ler,SS,80.29,broken clouds,8.3018,30.1418,
523,Micheweni,TZ,78.8,light rain,-4.9667,39.8333,
524,Cavalcante,BR,77.31,heavy intensity rain,-13.7975,-47.4583,Pousada Vila dos Ipês
527,Banda Aceh,ID,78.04,few clouds,5.5577,95.3222,Sulthan Hotel International
531,Gigmoto,PH,78.85,broken clouds,13.7796,124.39,Cj's Travellers Inn
534,Belmonte,BR,84.2,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
540,Indramayu,ID,80.94,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
543,Kalmunai,LK,77.31,overcast clouds,7.4167,81.8167,VS Villa
544,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
546,Sao Raimundo Nonato,BR,85.1,overcast clouds,-9.0153,-42.6994,Real Hotel
563,Diffa,NE,75.79,overcast clouds,13.3154,12.6113,ProDAF/Diffa
564,Morant Bay,JM,87.62,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
565,Tabou,CI,80.19,few clouds,4.423,-7.3528,hotêl doufoulougou
570,Ferkessedougou,CI,82.6,clear sky,9.6,-5.2,Hotel Chateau
572,Benguela,AO,78.51,broken clouds,-12.5763,13.4055,Hotel Praia Morena
576,Miami,US,85.01,light rain,25.7743,-80.1937,Miami Sun Hotel- Downtown/Port of Miami
581,Barrancas,CO,82.65,broken clouds,10.9576,-72.7877,Hotel Musichi
594,Luanda,AO,82.4,scattered clouds,-8.8368,13.2343,Hotel Fórum
597,Clemencia,CO,87.17,overcast clouds,10.5665,-75.325,Casa de Miguel Ángel Vasquez
599,Innisfail,AU,78.35,scattered clouds,-17.5333,146.0333,Moondarra Motel
600,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
604,Antsohihy,MG,78.48,overcast clouds,-14.8796,47.9875,Hotel de Ville
607,Caravelas,BR,79.9,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
614,Manika,PH,75.49,overcast clouds,11.388,122.2793,
620,Sapa,PH,79.63,few clouds,5.1544,120.3241,
638,Tiarei,PF,84.22,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
648,Pundaguitan,PH,82.22,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
650,Pangai,TO,80.71,light rain,-19.8,-174.35,Ha'apai Beach Resort
651,Sao Miguel Do Araguaia,BR,80.73,moderate rain,-13.275,-50.1628,Hotel Executivo Palace
654,Paita,PE,81.16,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
656,Porto Novo,BJ,85.82,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
659,Ugoofaaru,MV,82.11,overcast clouds,5.6667,73.0,Ungoofaaru Inn
661,Tulum,MX,84.92,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
670,Conde,BR,85.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
671,Nabire,ID,76.46,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
674,Sola,VU,81.79,overcast clouds,-13.8833,167.55,Leumerus Bungalows
676,Ipojuca,BR,84.11,clear sky,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
677,Sumenep,ID,79.92,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
681,Noumea,NC,82.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
682,Port Blair,IN,79.79,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
695,Kismayo,SO,80.1,few clouds,-0.3582,42.5454,Agan-Hotel
699,Oum Hadjer,TD,80.42,broken clouds,13.2954,19.6966,
701,Auburndale,US,86.18,clear sky,28.0653,-81.7887,Best Western Auburndale Inn & Suites
702,Gizo,SB,83.12,light rain,-8.103,156.8419,Imagination Island
