City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Domoni,KM,-12.2569,44.5319,78.69,80,99,5.68,overcast clouds
80,Emba,KZ,48.8264,58.1442,14.13,79,7,15.95,clear sky
81,Gazanjyk,TM,39.2446,55.5154,45.79,63,97,4.76,overcast clouds
82,Broome,US,42.2506,-75.833,45.63,47,1,4.0,clear sky
83,Pisco,PE,-13.7,-76.2167,73.45,68,40,13.8,scattered clouds
84,Baruun-Urt,MN,46.6806,113.2792,13.19,59,5,22.66,clear sky
85,Atuona,PF,-9.8,-139.0333,79.16,76,20,19.26,few clouds
86,Praya,CV,14.9215,-23.5087,75.74,69,98,11.5,overcast clouds
87,Yangambi,CD,0.8102,24.4336,73.09,90,100,2.73,overcast clouds
88,Tasiilaq,GL,65.6145,-37.6368,35.76,70,100,21.14,overcast clouds
89,Bossangoa,CF,6.4926,17.4552,79.66,33,47,2.35,scattered clouds
90,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,69,75,17.27,broken clouds
91,Nikolskoye,RU,59.7035,30.7861,23.4,98,100,5.03,light snow
92,Belyy Yar,RU,53.6039,91.3903,21.09,74,40,8.95,light shower snow
93,Sonoita,MX,31.85,-112.8333,70.54,20,29,4.27,scattered clouds
94,Yellowknife,CA,62.456,-114.3525,10.42,89,90,9.22,light snow
95,Alta Floresta,BR,-9.8756,-56.0861,89.42,62,40,5.75,scattered clouds
96,Palana,RU,59.1167,159.9667,16.45,76,100,16.15,overcast clouds
97,San Felipe,VE,10.3399,-68.7425,83.73,47,91,9.31,overcast clouds
98,Hokitika,NZ,-42.7167,170.9667,58.95,85,100,4.16,overcast clouds
99,Puerto Ayora,EC,-0.7393,-90.3518,78.76,89,99,7.7,overcast clouds
100,Thompson,CA,55.7435,-97.8558,1.56,78,90,3.44,light snow
101,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,71,40,24.74,scattered clouds
102,Yakeshi,CN,49.2833,120.7333,6.24,80,100,8.08,overcast clouds
103,Klaksvik,FO,62.2266,-6.589,41.92,72,100,19.01,overcast clouds
104,Tarakan,ID,3.3,117.6333,79.02,83,100,4.27,overcast clouds
105,Tumut,AU,-35.3,148.2167,52.79,79,0,2.15,clear sky
106,Alofi,NU,-19.0595,-169.9187,78.69,78,10,6.91,clear sky
107,Buncrana,IE,55.1333,-7.45,56.97,80,100,26.51,overcast clouds
108,Petropavl,KZ,54.8753,69.1628,8.91,88,93,10.11,overcast clouds
109,Clyde River,CA,70.4692,-68.5914,-1.97,84,29,11.5,scattered clouds
110,Aksarka,RU,66.5606,67.7975,-6.16,100,85,1.9,overcast clouds
111,Husavik,IS,66.0449,-17.3389,40.91,79,100,16.58,overcast clouds
112,Palmer,US,42.1584,-72.3287,46.31,41,20,3.0,few clouds
113,Karratha,AU,-20.7377,116.8463,87.22,23,0,11.77,clear sky
114,Touros,BR,-5.1989,-35.4608,86.9,70,10,14.63,clear sky
115,Tura,IN,25.5198,90.2201,56.62,73,0,4.03,clear sky
116,Qaanaaq,GL,77.484,-69.3632,-3.32,69,60,2.71,broken clouds
117,Port Elizabeth,ZA,-33.918,25.5701,72.1,83,90,5.75,overcast clouds
118,Port-Cartier,CA,50.0334,-66.8654,30.74,69,100,22.77,overcast clouds
119,Codrington,AU,-38.2667,141.9667,66.83,41,91,9.71,overcast clouds
120,Sitka,US,57.0531,-135.33,33.69,80,90,5.75,light snow
121,Sur,OM,22.5667,59.5289,71.44,60,0,6.24,clear sky
122,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,90,16.11,light snow
123,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,77,90,4.61,light rain
124,Bambanglipuro,ID,-7.95,110.2833,60.6,86,93,3.11,overcast clouds
125,Dudinka,RU,69.4058,86.1778,-20.38,92,99,5.73,overcast clouds
126,Dali,CN,25.7,100.1833,44.82,80,4,1.68,clear sky
127,Pangnirtung,CA,66.1451,-65.7125,-0.4,65,20,2.3,few clouds
128,Bowen,AU,-20.0167,148.2333,73.62,77,9,11.07,clear sky
129,New Norfolk,AU,-42.7826,147.0587,53.92,74,24,2.59,few clouds
130,Hithadhoo,MV,-0.6,73.0833,81.18,77,100,10.85,overcast clouds
131,Upernavik,GL,72.7868,-56.1549,6.4,93,100,10.13,overcast clouds
132,Boa Vista,BR,2.8197,-60.6733,85.98,66,75,9.22,broken clouds
133,Batamshinskiy,KZ,50.5594,58.2747,4.98,91,5,8.59,clear sky
134,Avarua,CK,-21.2078,-159.775,73.45,100,75,4.61,light rain
135,Iqaluit,CA,63.7506,-68.5145,6.53,65,75,5.01,broken clouds
136,Ilulissat,GL,69.2167,-51.1,17.62,73,90,5.75,overcast clouds
137,Honiara,SB,-9.4333,159.95,79.9,89,100,3.71,overcast clouds
138,Fairbanks,US,64.8378,-147.7164,-9.78,70,1,0.0,light snow
139,Busselton,AU,-33.65,115.3333,50.04,75,100,9.73,overcast clouds
140,Tosya,TR,41.0155,34.0401,45.66,59,0,1.9,clear sky
141,Bethel,US,41.3712,-73.414,47.32,37,1,4.0,clear sky
142,Mao,ES,39.8885,4.2658,46.96,87,20,2.3,few clouds
143,Rio Grande,BR,-32.035,-52.0986,86.11,67,0,16.53,clear sky
144,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,72.72,25,52,18.52,broken clouds
145,Port Alfred,ZA,-33.5906,26.891,70.75,93,100,16.75,light rain
146,Khor,RU,47.8861,134.9464,6.87,90,100,13.47,overcast clouds
147,La Algaba,ES,37.4637,-6.0129,63.64,65,0,3.0,clear sky
148,Sinnamary,GF,5.3833,-52.95,77.16,91,100,11.95,light rain
